,id,type_de_bien,année,nb_de_pieces,surface,ville,prix
35,83,appartement,1970.0,2,47, ARCACHON,440000
36,87,appartement,1985.0,2,40, ARCACHON,525000
37,88,appartement,1998.0,1,23, ARCACHON,213000
38,89,maison,2005.0,3,62, MIOS,267000
39,90,appartement,1900.0,1,39, BORDEAUX,224600
40,91,appartement,1960.0,2,34, ARCACHON,336000
41,95,maison,2012.0,4,100, LANTON,432000
42,96,maison,1980.0,5,68, LACANAU OCEAN                   ,265000
43,97,appartement,1970.0,2,56, MERIGNAC,196100
44,99,appartement,1965.0,3,64, BORDEAUX,184000
45,100,maison,1930.0,3,77, ANDERNOS LES BAINS,299000
46,101,maison,1940.0,4,70, LANTON,367500
47,103,maison,1994.0,4,157, ARES,582400
48,111,maison,2010.0,8,195, AUDENGE,472500
49,118,maison,2019.0,4,117, SALLES,366492
50,119,appartement,1900.0,5,137, BORDEAUX,798000
51,120,appartement,1970.0,1,24, LIBOURNE,56000
52,127,maison,1978.0,5,110, EYSINES,530250
53,128,appartement,1900.0,4,110, BORDEAUX,682000
54,129,appartement,1900.0,3,133, BORDEAUX,840000
55,130,maison,1900.0,7,259, BORDEAUX,1732000
56,132,maison,1984.0,4,130, LA TESTE DE BUCH,499000
57,133,maison,1984.0,4,130, CAZAUX                          ,499000
58,134,maison,2016.0,5,115, BRUGES,639700
59,135,maison,1880.0,10,470, BORDEAUX,688000
60,136,maison,1980.0,2,31, LACANAU OCEAN                   ,160000
61,137,appartement,2022.0,4,85, GRADIGNAN,376000
62,138,appartement,2020.0,4,84, BORDEAUX,389200
63,139,appartement,2020.0,4,77, EYSINES,364000
